Region,age_group_name,sex_name,Nutrient,region_mean
West Africa,75 to 79,Female,PUFA,1.2442381437740102
West Africa,75 to 79,Female,Sodium,2.806785093904971
West Africa,75 to 79,Female,Sugar,8.255558898371797
West Africa,75 to 79,Male,PUFA,1.3044479384939929
West Africa,75 to 79,Male,Sodium,2.895186456175376
West Africa,75 to 79,Male,Sugar,7.111450985212123
West Africa,80 to 84,Female,PUFA,1.2173241732290623
West Africa,80 to 84,Female,Sodium,2.8200581844310926
West Africa,80 to 84,Female,Sugar,7.738983501794673
West Africa,80 to 84,Male,PUFA,1.2758899920219933
West Africa,80 to 84,Male,Sodium,2.9280036061755648
West Africa,80 to 84,Male,Sugar,6.679553549226373
West Africa,85 to 89,Female,PUFA,1.0664994258068337
West Africa,85 to 89,Female,Sodium,2.840142408335955
West Africa,85 to 89,Female,Sugar,7.752491971409711
West Africa,85 to 89,Male,PUFA,1.1190966945049576
West Africa,85 to 89,Male,Sodium,2.9542190033555413
West Africa,85 to 89,Male,Sugar,6.667224641364892
West Africa,90 to 94,Female,PUFA,1.0640349824471762
West Africa,90 to 94,Female,Sodium,2.845663805161871
West Africa,90 to 94,Female,Sugar,7.636995945691456
West Africa,90 to 94,Male,PUFA,1.1179243805369095
West Africa,90 to 94,Male,Sodium,2.9540633930661846
West Africa,90 to 94,Male,Sugar,6.678066824498252
West Africa,95 plus,Female,PUFA,1.065359850001482
West Africa,95 plus,Female,Sodium,2.8437627267184102
West Africa,95 plus,Female,Sugar,7.701664625110337
West Africa,95 plus,Male,PUFA,1.1177832834214603
West Africa,95 plus,Male,Sodium,2.9610983900449495
West Africa,95 plus,Male,Sugar,6.739758565908585
